Symptom	CUI	LexicalExpression
Dyspnea	C0013404	shortness of breathe
Dyspnea	C0013404	breathing trouble
Dyspnea	C0013404	barely able to breathe
Dyspnea	C0013404	half breaths
Dyspnea	C0013404	can't get a full breath
Dyspnea	C0013404	bad breathing
Dyspnea	C0013404	breathing was short
Dyspnea	C0013404	breathing issues
Dyspnea	C0013404	gasping for air
Dyspnea	C0013404	breathless
Dyspnea	C0013404	choking
Dyspnea	C0013404	couldn't breathe
Dyspnea	C0013404	breathing is painful
Dyspnea	C0013404	difficulty in breathing
Dyspnea	C0013404	breaks for my lungs
Dyspnea	C0013404	could no longer breathe on my own
Dyspnea	C0013404	barely breathe
Dyspnea	C0013404	breathing problems
Dyspnea	C0013404	hurts to take a deep breath
Dyspnea	C0013404	trouble breathing deep
Dyspnea	C0013404	respiratory symptoms were minimal
Dyspnea	C0013404	difficult breathing
Dyspnea	C0013404	diff of breathing
Dyspnea	C0013404	acute respiratory distress
Dyspnea	C0013404	short of breat
Dyspnea	C0013404	can barely breathe
Dyspnea	C0013404	breathing difficulties
Dyspnea	C0013404	decreased lung function
Dyspnea	C0013404	get breathless
Dyspnea	C0013404	head hurts
Dyspnea	C0013404	Short breaths
Dyspnea	C0013404	loss of breath
Dyspnea	C0013404	couldn't take deep breaths
Dyspnea	C0013404	lung issues
Dyspnea	C0013404	I can't breathe
Dyspnea	C0013404	Lungs are still weak
Dyspnea	C0013404	can't breathe
Dyspnea	C0013404	slight shortness of breath
Dyspnea	C0013404	mild breathlessness
Dyspnea	C0013404	breathing was very hard
Dyspnea	C0013404	breathing is very hard
Dyspnea	C0013404	harder to breathe
Dyspnea	C0013404	shallow breathing
Dyspnea	C0013404	labored breathing
Dyspnea	C0013404	lungs are weakened
Dyspnea	C0013404	breathlessness
Chest tightness	C0235710	tight chest
Chest tightness	C0235710	lungs have been tight
Chest tightness	C0235710	bricks on my chest
Chest tightness	C0235710	chest pressure
Chest tightness	C0235710	tightens my chest
Chest tightness	C0235710	chest tightness
Chest tightness	C0235710	tightness of chest
Chest tightness	C0235710	chest heaviness
Chest tightness	C0235710	tightness in my chest
Chest tightness	C0235710	pressure in my chest
Chest tightness	C0235710	lung tightness
Chest tightness	C0235710	someone is sitting on my chest
Chest tightness	C0235710	lungs were closed halfway down
Chest tightness	C0235710	lungs getting heavier
Chest tightness	C0235710	chest was painfully tight
Chest tightness	C0235710	sitting on my chest
Chest tightness	C0235710	chest and lungs feel extremely tight
Chest tightness	C0235710	elephant on my chest
Chest tightness	C0235710	chest is so heavy
Chest tightness	C0235710	tightness in chest
Chest tightness	C0235710	super tight feeling
Chest tightness	C0235710	elephant sitting on my chest
Chest tightness	C0235710	bus is parked on me
Chest tightness	C0235710	struggling with chest
Chest tightness	C0235710	lungs are inflammed
Chest tightness	C0235710	chest seems heavy again
Chest tightness	C0235710	Lungs are still inflammed
Chest tightness	C0235710	Something is squeezing my chest
Chest tightness	C0235710	chest is still tight
Chest tightness	C0235710	Chest congestion
Chest tightness	C0235710	mild chest congestion
Chest tightness	C0235710	chest tightening
Chest tightness	C0235710	chest still tight
Chest tightness	C0235710	lung pressure
Chest tightness	C0235710	heaviness in my lungs
Chest tightness	C0235710	tightness when breathing deep
Chest tightness	C0235710	chest is so tight
Chest tightness	C0235710	chest is still congested
Chest tightness	C0235710	chest is very tight
Chest tightness	C0235710	pressure on my chest
Fatigue	C0015672	super tired
Fatigue	C0015672	energy levels very low
Fatigue	C0015672	fatigue
Fatigue	C0015672	weakness
Fatigue	C0015672	loss of energy
Fatigue	C0015672	feeling weak
Fatigue	C0015672	no energy
Fatigue	C0015672	tired
Fatigue	C0015672	couldn't lift my head
Fatigue	C0015672	tiredness
Fatigue	C0015672	very tired
Fatigue	C0015672	fatigued
Fatigue	C0015672	feel weak
Fatigue	C0015672	weak
Fatigue	C0015672	horrible fatigue
Fatigue	C0015672	exhaustion
Fatigue	C0015672	too weak
Fatigue	C0015672	extreme fatigue
Fatigue	C0015672	exhausted
Fatigue	C0015672	knocked out
Fatigue	C0015672	uncontrollably fatigued
Fatigue	C0015672	exhausting
Fatigue	C0015672	too tired
Fatigue	C0015672	don't have the energy
Fatigue	C0015672	random, sudden fatigue
Fatigue	C0015672	tiring to even talk
Fatigue	C0015672	exhaustion has fully hit me
Fatigue	C0015672	pretty weak
Fatigue	C0015672	can't walk alone
Fatigue	C0015672	extremely fatigued
Fatigue	C0015672	generalized weakness
Fatigue	C0015672	don't have energy
Oropharyngeal pain	C2363731	pain in my throat
Oropharyngeal pain	C2363731	throat to fix itself
Oropharyngeal pain	C2363731	sore throat
Oropharyngeal pain	C2363731	dry throat
Oropharyngeal pain	C2363731	throat infection
Oropharyngeal pain	C2363731	throat pain
Oropharyngeal pain	C2363731	throat felt a little scratchy
Oropharyngeal pain	C2363731	strep throat
Oropharyngeal pain	C2363731	throat itches
Oropharyngeal pain	C2363731	swollen gland
Oropharyngeal pain	C2363731	throat ache
Oropharyngeal pain	C2363731	scratchy throat
Oropharyngeal pain	C2363731	trickle in my throat
Oropharyngeal pain	C2363731	squeezing my throat
Oropharyngeal pain	C2363731	throat hurt
Oropharyngeal pain	C2363731	trouble swallowing
Oropharyngeal pain	C2363731	throat is starting to feel sore
Oropharyngeal pain	C2363731	throat itched
Oropharyngeal pain	C2363731	flu-like voice
Oropharyngeal pain	C2363731	Voice sounds flu-like
Oropharyngeal pain	C2363731	itchy throat
Oropharyngeal pain	C2363731	uncomforatble throat
Oropharyngeal pain	C2363731	throat was hurting
Oropharyngeal pain	C2363731	throat started feeling scratchy
Oropharyngeal pain	C2363731	irritated throat
Palpitations	C0030252	palpitations
Palpitations	C0030252	my pulse was 112 bpm
Palpitations	C0030252	heart that's bumping way too fast
Palpitations	C0030252	Tachycardia
Dizziness/disorientation/confusion	C0012833	dizzy
Dizziness/disorientation/confusion	C0012833	light headedness
Dizziness/disorientation/confusion	C0012833	spell of dizziness
Dizziness/disorientation/confusion	C0012833	dizziness
Dizziness/disorientation/confusion	C0012833	disorientation
Dizziness/disorientation/confusion	C0012833	couldn't stand up
Dizziness/disorientation/confusion	C0012833	can't walk
Dizziness/disorientation/confusion	C0012833	Temporary loss of recent memory
Dizziness/disorientation/confusion	C0012833	delirium
Dizziness/disorientation/confusion	C0012833	foggy brain
Dizziness/disorientation/confusion	C0012833	hallucinating
Dizziness/disorientation/confusion	C0012833	vertigo
Headache	C0018681	headache
Headache	C0018681	pressure in my head
Headache	C0018681	head is killing me
Headache	C0018681	headaches
Headache	C0018681	massive headache
Headache	C0018681	head is pounding
Headache	C0018681	head ache
Headache	C0018681	throbbing head
Headache	C0018681	feels like what I imagine neuralgia to feel like
Headache	C0018681	pain in back of head
Headache	C0018681	pain in temple
Headache	C0018681	head hurt
Headache	C0018681	throbbing headache
Headache	C0018681	slight head congestion
Headache	C0018681	congested head
Headache	C0018681	sore head
Headache	C0018681	head is gonna explode
Headache	C0018681	mild headache
Headache	C0018681	headcahe
Headache	C0018681	head cold
Headache	C0018681	bad forehead
Headache	C0018681	head was throbbing
Headache	C0018681	severe headache
Headache	C0018681	crushing headache
Headache	C0018681	hammering the top of my skull
Headache	C0018681	cluster headaches
Paranasal sinus discomfort	C0948596	sinus pressure
Paranasal sinus discomfort	C0948596	sinus infection
Paranasal sinus discomfort	C0948596	sinus congestion
Paranasal sinus discomfort	C0948596	burning nose
Paranasal sinus discomfort	C0948596	nose hurt
Paranasal sinus discomfort	C0948596	odd aches in sinuses
Paranasal sinus discomfort	C0948596	burning sensation in your sinus
Migraine	C0149931	migraine
Migraine	C0149931	migraines
Migraine	C0149931	epic migraines
Pyrexia	C0015967	fever
Pyrexia	C0015967	fevers
Pyrexia	C0015967	high fever
Pyrexia	C0015967	very hot
Pyrexia	C0015967	temperature
Pyrexia	C0015967	burning up
Pyrexia	C0015967	thought I had the flu
Pyrexia	C0015967	temperature will randomly go up
Pyrexia	C0015967	my temperature twice a day
Pyrexia	C0015967	feverish
Pyrexia	C0015967	slight fever
Pyrexia	C0015967	temperature is at 40
Pyrexia	C0015967	temperature rose to 42
Pyrexia	C0015967	made me breathe like fire
Pyrexia	C0015967	super-high fever
Pyrexia	C0015967	temp was 102.8 today
Pyrexia	C0015967	I'm 38.7
Pyrexia	C0015967	pyrexia
Pyrexia	C0015967	light fever
Pyrexia	C0015967	temperature has elevated
Pyrexia	C0015967	mildly pyrexic
Pyrexia	C0015967	spiked a temp
Pyrexia	C0015967	body temperature was at 101.7
Pyrexia	C0015967	body temperature now at 103.6
Pyrexia	C0015967	Temperature in me was at 105.2
Pyrexia	C0015967	fever is still at 102.3
Pyrexia	C0015967	High temperature
Pyrexia	C0015967	104 fever
Pyrexia	C0015967	can't shake the temp
Pyrexia	C0015967	temp
Pyrexia	C0015967	temp is miserable
Pyrexia	C0015967	Temp at 38
Pyrexia	C0015967	Temp at 36
Pyrexia	C0015967	Temp at 36-37
Pyrexia	C0015967	Temp at 40deg
Pyrexia	C0015967	temperature rose back to 40
Pyrexia	C0015967	temperature dropped to 36
Pyrexia	C0015967	temperature soared
Pyrexia	C0015967	low fever
Pyrexia	C0015967	fever upto 103.3
Pyrexia	C0015967	head fever
Pyrexia	C0015967	99.9 fever
Pyrexia	C0015967	consistent fever
Pyrexia	C0015967	body temperature up
Pyrexia	C0015967	temp above 101
Pyrexia	C0015967	unrelenting fever
Pyrexia	C0015967	low grade fever
Pyrexia	C0015967	temperature started going up
Pyrexia	C0015967	temperature was a little higher
Pyrexia	C0015967	101 degree fever
Pyrexia	C0015967	102 fever
Pyrexia	C0015967	low temperatures
Pyrexia	C0015967	103+ fevers
Pyrexia	C0015967	fever spiked to 107
Pyrexia	C0015967	105 fever
Pyrexia	C0015967	105.9 fever
Pyrexia	C0015967	105.4 fever
Pyrexia	C0015967	105.6 fever
Pyrexia	C0015967	fever of 101
Pyrexia	C0015967	clingy fever
Pyrexia	C0015967	high-grade fever
Pyrexia	C0015967	mild fever
Pyrexia	C0015967	temp spikes to 102
Pyrexia	C0015967	temp of over 102
Pyrexia	C0015967	increase in temperature
Pyrexia	C0015967	increase in temp
Pyrexia	C0015967	temperature thermometers
Chills	C0085593	chills
Chills	C0085593	shaking
Chills	C0085593	body chills
Chills	C0085593	extreme chills
Chills	C0085593	shiver
Chills	C0085593	shivering
Chills	C0085593	body shaking
Chills	C0085593	shivers
Chills	C0085593	shivered
Chills	C0085593	shakes
Chills	C0085593	horrible chills
Chills	C0085593	shaking uncontrollably
Nausea	C0027497	nausea
Nausea	C0027497	nauseous
Nausea	C0027497	nauseousness
Nausea	C0027497	intermittent nausea
Nausea	C0027497	nasuea
Eye pain	C0151827	eyes physically hurt
Eye pain	C0151827	eyes were excruciatingly sensitive and sore
Eye pain	C0151827	pain in eyes
Eye pain	C0151827	eyes were hurting
Eye pain	C0151827	heavy eyes
Eye pain	C0151827	irritated eyes
Eye pain	C0151827	sore eyes
Eye pain	C0151827	eyes in pain
Eye pain	C0151827	eyes hurt
Eye pain	C0151827	eyes were strained
Eye pain	C0151827	Swollen eyes
Eye pain	C0151827	Hurting eye socket
Eye pain	C0151827	puffy eyes
Eye pain	C0151827	eye sickness
Eye pain	C0151827	burning eyes
Loss of appetite	C0232462	lack of appetite
Loss of appetite	C0232462	loss of appetite
Loss of appetite	C0232462	no appetite
Loss of appetite	C0232462	poor appetite
Loss of appetite	C0232462	couldn't eat
Loss of appetite	C0232462	have my appetite
Loss of appetite	C0232462	zero appetite
Loss of appetite	C0232462	reduced appetite
Loss of appetite	C0232462	appetite reduced
Loss of appetite	C0232462	lost in apetite
Loss of appetite	C0232462	loss if appetite
Loss of appetite	C0232462	don't wanna eat much
Loss of appetite	C0232462	little appetite
Loss of appetite	C0232462	anorexia
Loss of appetite	C0232462	crappy appetite
Loss of appetite	C0232462	lost my apetite
Loss of appetite	C0232462	barely ate anything
Loss of appetite	C0232462	barely any appetite
Loss of appetite	C0232462	aversion to food
Loss of appetite	C0232462	lost appetite
Anosmia	C0003126	could not smell
Anosmia	C0003126	loss of smell
Anosmia	C0003126	sense of smell hasn't returned
Anosmia	C0003126	anosmia
Anosmia	C0003126	losing my sense of smell
Anosmia	C0003126	sense of smell
Anosmia	C0003126	no smell
Anosmia	C0003126	lost sense of smell
Anosmia	C0003126	smell goes in and out
Anosmia	C0003126	no sense of smell
Anosmia	C0003126	couldn't smell
Anosmia	C0003126	can't smell
Anosmia	C0003126	smell senses
Anosmia	C0003126	lost my smell
Anosmia	C0003126	lost my sense of smell
Anosmia	C0003126	loss of sense of smell
Anosmia	C0003126	no smell sense
Anosmia	C0003126	lost of smell
Anosmia	C0003126	lost my ability to smell
Anosmia	C0003126	lack of smell
Anosmia	C0003126	hyposmia
Anosmia	C0003126	no sense of smell
Anosmia	C0003126	sense of smell has returned
Anosmia	C0003126	anosmic
Anosmia	C0003126	smell not fully back
Anosmia	C0003126	senses of smell gone
Anosmia	C0003126	cant smell
Anosmia	C0003126	loss sense of smell
Anosmia	C0003126	haven't smelled
Anosmia	C0003126	sense of smell is gone
Anosmia	C0003126	inability to smell
Anosmia	C0003126	not able to smell
Anosmia	C0003126	complete loss of smell
Anosmia	C0003126	lost our sense of smell
Anosmia	C0003126	depletion in my ability to smell
Anosmia	C0003126	lose my sense of smell
Anosmia	C0003126	loss in my ability to smell
Ageusia	C2364111	could not taste
Ageusia	C2364111	loss of taste
Ageusia	C2364111	sense of taste hasn't returned
Ageusia	C2364111	ageusia
Ageusia	C2364111	losing my sense of taste
Ageusia	C2364111	sense of taste
Ageusia	C2364111	no taste
Ageusia	C2364111	lost sense of taste
Ageusia	C2364111	little taste
Ageusia	C2364111	taste anything
Ageusia	C2364111	can't taste
Ageusia	C2364111	lost the ability to taste food
Ageusia	C2364111	couldn't taste
Ageusia	C2364111	taste senses
Ageusia	C2364111	not been able to taste
Ageusia	C2364111	lost my taste
Ageusia	C2364111	lost my sense of taste
Ageusia	C2364111	can't taste anything
Ageusia	C2364111	loss of sense of taste
Ageusia	C2364111	no taste sense
Ageusia	C2364111	all of my food I've tried eating this week tasted the same
Ageusia	C2364111	lost of taste
Ageusia	C2364111	lost my ability to taste
Ageusia	C2364111	lack of taste
Ageusia	C2364111	couldn't taste anything
Ageusia	C2364111	whatever I drink or eat is tasteless
Ageusia	C2364111	taste not fully back
Ageusia	C2364111	senses of taste gone
Ageusia	C2364111	cant taste
Ageusia	C2364111	haven't tasted
Ageusia	C2364111	no sense of taste
Ageusia	C2364111	lost my sesmse of taste
Ageusia	C2364111	complete loss of taste
Ageusia	C2364111	changed taste
Ageusia	C2364111	lost our sense of taste
Ageusia	C2364111	depletion in my ability to taste
Ageusia	C2364111	tasteless
Ageusia	C2364111	lose my sense of taste
Ageusia	C2364111	loss in my ability to taste
Rhinorrhea	C1260880	stuffy nose
Rhinorrhea	C1260880	nasal cavity
Rhinorrhea	C1260880	dry nasal cavity
Rhinorrhea	C1260880	runny nose
Rhinorrhea	C1260880	nose congestion
Rhinorrhea	C1260880	sniffles
Rhinorrhea	C1260880	nasal congestion
Rhinorrhea	C1260880	slightly runny nose
Rhinorrhea	C1260880	blocked nose
Rhinorrhea	C1260880	running nose
Rhinorrhea	C1260880	Nose is still congested
Sneezing	C0037383	sneezing
Sneezing	C0037383	sneeze
Sneezing	C0037383	sneezed hysterically
Sneezing	C0037383	sneezed more
Sneezing	C0037383	sneezing intensified
Sneezing	C0037383	sneezed
Hyperhidrosis	C0020458	sweats
Hyperhidrosis	C0020458	cold sweats
Hyperhidrosis	C0020458	sweating
Hyperhidrosis	C0020458	night sweats
Hyperhidrosis	C0020458	sweat
Hyperhidrosis	C0020458	severe sweating
Hyperhidrosis	C0020458	sweaty
Hyperhidrosis	C0020458	clammy feet nd hands
Hyperhidrosis	C0020458	nightsweats
Hyperhidrosis	C0020458	hot sweats
Myalgia	C0231528	myalgia
Myalgia	C0231528	muscle pain
Myalgia	C0231528	muscle soreness
Myalgia	C0231528	severe myalgia
Myalgia	C0231528	muscles ache
Myalgia	C0231528	muscle hurt
Myalgia	C0231528	muscles in my neck began to ache
Myalgia	C0231528	muscle spasms
Myalgia	C0231528	muscle spasm
Myalgia	C0231528	muscle aches
Myalgia	C0231528	terrible myalgia
Myalgia	C0231528	muscle ache
Myalgia	C0231528	myalgias
Insomnia/sleep disturbance	C0917801	insomnia
Insomnia/sleep disturbance	C0917801	can't sleep
Insomnia/sleep disturbance	C0917801	difficulty sleeping
Insomnia/sleep disturbance	C0917801	can never stay asleep
Insomnia/sleep disturbance	C0917801	haven't slept
Insomnia/sleep disturbance	C0917801	sleepless
Insomnia/sleep disturbance	C0917801	poor sleep
Vomiting	C0042963	vomiting
Vomiting	C0042963	throwing up
Vomiting	C0042963	throw up
Vomiting	C0042963	vomit
Vomiting	C0042963	threw up
Vomiting	C0042963	vomitting
Vomiting	C0042963	Vomited
Vomiting	C0042963	puked
Bronchitis	C0006277	bronchitis
Abdominal pain	C0000737	stomach aches
Abdominal pain	C0000737	kidney aches
Abdominal pain	C0000737	bladder pain
Abdominal pain	C0000737	stomach cramps
Body ache & Pain	C0741585	body aches
Body ache & Pain	C0741585	body pains
Body ache & Pain	C0741585	body ache
Body ache & Pain	C0741585	cramps
Body ache & Pain	C0741585	leg cramps
Body ache & Pain	C0741585	leg cramp
Body ache & Pain	C0741585	cramping
Body ache & Pain	C0741585	whole body has been numb
Body ache & Pain	C0741585	leg pain
Body ache & Pain	C0741585	Body being sorta achy
Body ache & Pain	C0741585	left side of body is numb
Body ache & Pain	C0741585	pain in my jaw and teeth
Body ache & Pain	C0741585	face pain
Body ache & Pain	C0741585	body still aches
Body ache & Pain	C0741585	whole-body ache
Body ache & Pain	C0741585	back pain
Body ache & Pain	C0741585	neck pain
Body ache & Pain	C0741585	back absolutely fucked
Body ache & Pain	C0741585	agony of the body
Body ache & Pain	C0741585	whole body is aching
Body ache & Pain	C0741585	whole body is sore
Body ache & Pain	C0741585	body hurts
Body ache & Pain	C0741585	pain along my dermatomes
Body ache & Pain	C0741585	teeth were v sore
Body ache & Pain	C0741585	hurt to move
Body ache & Pain	C0741585	Pain
Body ache & Pain	C0741585	aches
Body ache & Pain	C0741585	aching
Body ache & Pain	C0741585	achy
Body ache & Pain	C0741585	achiness
Body ache & Pain	C0741585	ache
Body ache & Pain	C0741585	cramp
Body ache & Pain	C0741585	pain I can feel
Body ache & Pain	C0741585	pains
Body ache & Pain	C0741585	neuropathic type pain
Body ache & Pain	C0741585	hurt to look around
Body ache & Pain	C0741585	jaw (lymph nodes) super tender to touch
Body ache & Pain	C0741585	horrible aches
Body ache & Pain	C0741585	left arm hurting
Body ache & Pain	C0741585	back aches
Body ache & Pain	C0741585	pain in lymph nodes
Body ache & Pain	C0741585	breathing hurts
Body ache & Pain	C0741585	sore
Body ache & Pain	C0741585	aches and pain
Body ache & Pain	C0741585	pain is unmanageable
Body ache & Pain	C0741585	ache all over
Body ache & Pain	C0741585	hurts to be awake
Body ache & Pain	C0741585	unbearable back pain
Body ache & Pain	C0741585	extreme body aches
Body ache & Pain	C0741585	feeling achey
Body ache & Pain	C0741585	achey
Body ache & Pain	C0741585	neck hurt
Body ache & Pain	C0741585	neck kept hurting
Body ache & Pain	C0741585	neck and back ache
Body ache & Pain	C0741585	bone-deep ache
Body ache & Pain	C0741585	feeling skin to hurt
Body ache & Pain	C0741585	backache
Body ache & Pain	C0741585	back was hurting
Body ache & Pain	C0741585	pain legs and feet
Body ache & Pain	C0741585	spleen sometimes aches
Body ache & Pain	C0741585	achey body
Lethargic	C0023380	sluggish
Lethargic	C0023380	lethargic
Lethargic	C0023380	deflated
Lethargic	C0023380	groggy
Lethargic	C0023380	lacking energy
Lethargic	C0023380	lethargy
Lethargic	C0023380	lousy
Lethargic	C0023380	lost mobility
Lethargic	C0023380	difficult to move
Hemoptysis	C0019079	spitting up blood
Wheezing	C0043144	wheezing
Wheezing	C0043144	lungs now make a wheeze
Wheezing	C0043144	wheeze while inhaling
Wheezing	C0043144	wheezy
Diarrhea/GI issues	C0011991	diarrhea
Diarrhea/GI issues	C0011991	stomach upset
Diarrhea/GI issues	C0011991	stomach distress
Diarrhea/GI issues	C0011991	gastrointestinal upset
Diarrhea/GI issues	C0011991	GI issues
Diarrhea/GI issues	C0011991	GI problems
Diarrhea/GI issues	C0011991	unbearable stooling
Diarrhea/GI issues	C0011991	stomach bug
Diarrhea/GI issues	C0011991	upset stomach
Diarrhea/GI issues	C0011991	diarrhoea
Diarrhea/GI issues	C0011991	gastro problems
Diarrhea/GI issues	C0011991	watery diarrhea
Pruritus	C0033774	itchy
Irritability	C0022107	angry
Irritability	C0022107	irritability
Irritability	C0022107	snappy
Irritability	C0022107	cranky
Irritability	C0022107	bursts of anger
Upper respiratory tract infection	C0041912	upper respiratory infection
Upper respiratory tract infection	C0041912	respiratory infection
Upper respiratory tract infection	C0041912	chest infection
Ear infection/pain	C0013456	infection in one ear
Ear infection/pain	C0013456	ears hurt
Ear infection/pain	C0013456	ear pain
Ear infection/pain	C0013456	pressure on the left ear
Ear infection/pain	C0013456	pulsing sounds in ear
Hypertension	C0020538	high blood pressure
Hypertension	C0020538	high BPM
Dehydration	C0011175	dehydrated
Dehydration	C0011175	Thirsty
Dehydration	C0011175	extremely THIRSTY
Arthralgia	C0003862	joint pains
Arthralgia	C0003862	joints pain
Arthralgia	C0003862	shooting pain in my joints
Visual impairment	C3665347	spots on vision
Sputum increased	C0235567	thicker saliva
Hot Flush	C0600142	hot flashes
Nasal dryness	C0231919	dry nose
Nasal dryness	C0231919	very dry nose
Rash	C0015230	rash in elbow
Rash	C0015230	rash all over my body
Lymphadenopathy	C0497156	Lymph nodes swollen
Lymphadenopathy	C0497156	swollen nodes
